wohnlage,equipment_level,buildingyear_min,buildingyear_max,size_lower,size_upper,rent_sqm_min,rent_sqm_avg,rent_sqm_max,location_flag
low,,0,1918,0.0,39.99,5.86,8.42,13.82,ALL
low,,1919,1949,0.0,39.99,6.4,8.32,9.25,ALL
low,,1950,1964,0.0,39.99,5.9,6.85,9.62,ALL
low,,1965,1972,0.0,39.99,6.39,7.24,9.41,ALL
low,,1973,1990,0.0,39.99,7.92,8.06,9.43,West
low,,1973,1990,0.0,39.99,7.3,7.61,8.5,Ost
mid,,0,1918,0.0,39.99,7.16,8.98,13.04,ALL
mid,,1919,1949,0.0,39.99,6.86,8.16,9.11,ALL
mid,,1950,1964,0.0,39.99,6.02,7.3,9.64,ALL
mid,,1965,1972,0.0,39.99,6.27,7.0,8.78,ALL
mid,,1973,1990,0.0,39.99,5.68,8.24,8.7,West
mid,,1973,1990,0.0,39.99,6.87,7.39,7.7,Ost
good,,0,1918,0.0,39.99,6.97,12.19,15.17,ALL
good,,1919,1949,0.0,39.99,6.86,7.99,10.1,ALL
good,,1950,1964,0.0,39.99,6.78,7.96,9.92,ALL
good,,1965,1972,0.0,39.99,8.68,9.49,10.39,ALL
good,,1973,1990,0.0,39.99,7.96,8.85,10.75,West
good,,1973,1990,0.0,39.99,7.14,7.6,9.31,Ost
low,,0,1918,40.0,59.99,5.61,7.19,10.59,ALL
low,,1919,1949,40.0,59.99,5.78,6.82,8.73,ALL
low,,1950,1964,40.0,59.99,5.73,6.4,8.53,ALL
low,,1965,1972,40.0,59.99,5.39,6.26,7.47,ALL
low,,1973,1990,40.0,59.99,6.61,7.95,9.22,West
low,,1973,1990,40.0,59.99,6.09,6.41,6.98,Ost
low,,1991,2002,40.0,59.99,8.21,8.91,10.87,ALL
low,,2003,2017,40.0,59.99,10.34,12.37,16.11,ALL
mid,,0,1918,40.0,59.99,5.77,7.92,10.92,ALL
mid,,1919,1949,40.0,59.99,6.0,7.18,8.27,ALL
mid,,1950,1964,40.0,59.99,5.74,6.51,8.14,ALL
mid,,1965,1972,40.0,59.99,5.79,6.38,7.4,ALL
mid,,1973,1990,40.0,59.99,6.78,8.24,9.35,West
mid,,1973,1990,40.0,59.99,5.75,6.35,7.14,Ost
mid,,1991,2002,40.0,59.99,7.92,8.72,9.77,ALL
mid,,2003,2017,40.0,59.99,7.76,10.5,13.32,ALL
good,,0,1918,40.0,59.99,6.39,8.57,11.69,ALL
good,,1919,1949,40.0,59.99,6.41,7.36,9.74,ALL
good,,1950,1964,40.0,59.99,6.02,6.95,8.37,ALL
good,,1965,1972,40.0,59.99,5.64,7.6,10.66,ALL
good,,1973,1990,40.0,59.99,7.86,8.97,9.82,West
good,,1973,1990,40.0,59.99,6.21,6.41,7.42,Ost
good,,1991,2002,40.0,59.99,8.67,10.39,11.85,ALL
good,,2003,2017,40.0,59.99,8.26,10.53,12.76,ALL
low,,0,1918,60.0,89.99,5.14,6.75,10.66,ALL
low,,1919,1949,60.0,89.99,5.4,6.25,7.75,ALL
low,,1950,1964,60.0,89.99,5.14,5.94,7.25,ALL
low,,1965,1972,60.0,89.99,5.21,5.81,6.48,ALL
low,,1973,1990,60.0,89.99,6.48,7.75,9.59,West
low,,1973,1990,60.0,89.99,5.31,5.62,6.1,Ost
low,,1991,2002,60.0,89.99,6.64,8.22,9.15,ALL
low,,2003,2017,60.0,89.99,9.04,13.73,15.8,ALL
mid,,0,1918,60.0,89.99,5.15,7.21,10.66,ALL
mid,,1919,1949,60.0,89.99,5.43,6.65,7.8,ALL
mid,,1950,1964,60.0,89.99,5.63,6.4,7.55,ALL
mid,,1965,1972,60.0,89.99,5.42,6.08,6.82,ALL
mid,,1973,1990,60.0,89.99,6.07,8.53,9.71,West
mid,,1973,1990,60.0,89.99,4.9,5.62,6.13,Ost
mid,,1991,2002,60.0,89.99,7.17,8.42,9.62,ALL
mid,,2003,2017,60.0,89.99,9.5,10.75,13.0,ALL
good,,0,1918,60.0,89.99,5.99,7.98,11.64,ALL
good,,1919,1949,60.0,89.99,6.3,7.57,9.75,ALL
good,,1950,1964,60.0,89.99,5.86,6.97,8.92,ALL
