wohnlage,equipment_level,buildingyear_min,buildingyear_max,size_lower,size_upper,rent_sqm_min,rent_sqm_avg,rent_sqm_max,location_flag
good,,1965,1972,60.0,89.99,5.54,7.08,8.85,ALL
good,,1973,1990,60.0,89.99,7.04,8.86,10.49,West
good,,1973,1990,60.0,89.99,5.45,5.93,6.7,Ost
good,,1991,2002,60.0,89.99,7.94,9.69,11.74,ALL
good,,2003,2017,60.0,89.99,9.42,10.89,13.59,ALL
low,,0,1918,90.0,9999.0,5.1,6.64,9.74,ALL
low,,1919,1949,90.0,9999.0,5.48,6.53,7.63,ALL
low,,1965,1972,90.0,9999.0,5.21,5.83,6.45,ALL
low,,1973,1990,90.0,9999.0,6.21,7.66,8.82,West
low,,1973,1990,90.0,9999.0,5.09,5.58,5.84,Ost
low,,1991,2002,90.0,9999.0,7.07,8.48,9.93,ALL
low,,2003,2017,90.0,9999.0,9.07,12.73,14.67,ALL
mid,,0,1918,90.0,9999.0,5.2,7.21,10.45,ALL
mid,,1919,1949,90.0,9999.0,5.44,6.41,9.06,ALL
mid,,1950,1964,90.0,9999.0,5.99,7.21,12.16,ALL
mid,,1965,1972,90.0,9999.0,5.4,5.75,6.55,ALL
mid,,1973,1990,90.0,9999.0,6.37,8.14,9.23,West
mid,,1973,1990,90.0,9999.0,4.91,5.6,5.92,Ost
mid,,1991,2002,90.0,9999.0,7.68,8.73,10.16,ALL
mid,,2003,2017,90.0,9999.0,9.38,10.74,13.56,ALL
good,,0,1918,90.0,9999.0,5.84,7.81,11.17,ALL
good,,1919,1949,90.0,9999.0,6.06,7.13,9.52,ALL
good,,1950,1964,90.0,9999.0,7.13,8.77,9.91,ALL
good,,1965,1972,90.0,9999.0,8.03,8.84,9.48,ALL
good,,1973,1990,90.0,9999.0,7.53,9.59,12.72,West
good,,1973,1990,90.0,9999.0,5.42,5.67,6.32,Ost
good,,1991,2002,90.0,9999.0,8.71,10.45,12.47,ALL
good,,2003,2017,90.0,9999.0,9.95,12.26,14.59,ALL
