wohnlage,equipment_level,buildingyear_min,buildingyear_max,size_lower,size_upper,rent_sqm_min,rent_sqm_avg,rent_sqm_max,location_flag
low,,1973,1990,90.0,9999.0,5.39,6.49,8.05,West
low,,1973,1990,90.0,9999.0,4.24,4.7,5.6,Ost
low,,1991,2002,90.0,9999.0,5.95,7.18,8.47,ALL
low,,2003,2015,90.0,9999.0,8.6,10.7,13.56,ALL
mid,,0,1918,90.0,9999.0,4.38,6.39,10.18,ALL
mid,,1919,1949,90.0,9999.0,4.97,5.63,7.1,ALL
mid,,1950,1964,90.0,9999.0,5.77,6.46,8.03,ALL
mid,,1965,1972,90.0,9999.0,4.91,5.53,7.5,ALL
mid,,1973,1990,90.0,9999.0,5.17,7.48,8.8,West
mid,,1973,1990,90.0,9999.0,4.76,5.11,5.6,Ost
mid,,1991,2002,90.0,9999.0,6.3,8.0,9.27,ALL
mid,,2003,2015,90.0,9999.0,8.69,10.19,13.1,ALL
