wohnlage,equipment_level,buildingyear_min,buildingyear_max,size_lower,size_upper,rent_sqm_min,rent_sqm_avg,rent_sqm_max,location_flag
low,,0,1918,0.0,39.99,5.44,7.45,10.0,ALL
low,,1919,1949,0.0,39.99,5.6,6.45,7.17,ALL
low,,1950,1964,0.0,39.99,5.18,6.17,8.8,ALL
low,,1965,1972,0.0,39.99,5.78,6.58,7.74,ALL
low,,1973,1990,0.0,39.99,5.33,7.68,8.15,West
low,,1973,1990,0.0,39.99,6.13,6.81,7.63,Ost
low,,2003,2015,0.0,39.99,7.5,7.5,9.51,ALL
mid,,0,1918,0.0,39.99,5.25,8.01,10.11,ALL
mid,,1919,1949,0.0,39.99,6.82,7.37,8.4,ALL
mid,,1950,1964,0.0,39.99,5.89,6.64,8.0,ALL
mid,,1965,1972,0.0,39.99,5.71,6.57,8.36,ALL
mid,,1973,1990,0.0,39.99,7.18,8.08,12.0,West
mid,,1973,1990,0.0,39.99,6.4,6.77,7.94,Ost
mid,,2003,2015,0.0,39.99,13.85,14.19,15.72,ALL
good,,0,1918,0.0,39.99,6.91,8.31,12.52,ALL
good,,1919,1949,0.0,39.99,6.04,7.04,10.0,ALL
good,,1950,1964,0.0,39.99,5.87,7.48,10.2,ALL
good,,1965,1972,0.0,39.99,7.7,8.83,9.84,ALL
good,,1973,1990,0.0,39.99,6.93,8.59,10.11,West
good,,1973,1990,0.0,39.99,7.09,8.04,9.14,Ost
low,,0,1918,40.0,59.99,4.81,6.51,9.22,ALL
low,,1919,1949,40.0,59.99,5.3,5.93,8.09,ALL
low,,1950,1964,40.0,59.99,5.16,5.71,7.29,ALL
low,,1965,1972,40.0,59.99,5.13,5.75,7.01,ALL
low,,1973,1990,40.0,59.99,5.8,6.77,8.43,West
low,,1973,1990,40.0,59.99,5.3,5.61,6.67,Ost
low,,1991,2002,40.0,59.99,6.21,7.43,9.17,ALL
low,,2003,2015,40.0,59.99,6.9,8.5,12.5,ALL
mid,,0,1918,40.0,59.99,5.11,6.61,10.06,ALL
mid,,1919,1949,40.0,59.99,5.52,6.34,7.65,ALL
mid,,1950,1964,40.0,59.99,5.43,6.11,7.48,ALL
mid,,1965,1972,40.0,59.99,5.39,5.72,7.2,ALL
mid,,1973,1990,40.0,59.99,6.65,7.39,7.97,West
mid,,1973,1990,40.0,59.99,5.37,5.83,6.75,Ost
mid,,1991,2002,40.0,59.99,6.84,8.18,9.37,ALL
mid,,2003,2015,40.0,59.99,8.4,10.1,13.94,ALL
good,,0,1918,40.0,59.99,5.81,7.03,8.75,ALL
good,,1919,1949,40.0,59.99,5.71,6.88,8.88,ALL
good,,1950,1964,40.0,59.99,5.18,6.66,8.98,ALL
good,,1965,1972,40.0,59.99,6.17,7.39,9.0,ALL
good,,1973,1990,40.0,59.99,7.3,8.0,9.12,West
good,,1973,1990,40.0,59.99,6.11,6.84,8.29,Ost
good,,1991,2002,40.0,59.99,7.48,9.0,10.34,ALL
good,,2003,2015,40.0,59.99,8.0,9.44,11.3,ALL
low,,0,1918,60.0,89.99,4.4,6.0,8.62,ALL
low,,1919,1949,60.0,89.99,4.9,5.65,7.56,ALL
low,,1950,1964,60.0,89.99,4.74,5.48,6.68,ALL
low,,1965,1972,60.0,89.99,4.76,5.22,6.3,ALL
low,,1973,1990,60.0,89.99,5.08,6.12,7.59,West
low,,1973,1990,60.0,89.99,4.72,5.07,5.71,Ost
low,,1991,2002,60.0,89.99,5.76,7.1,8.23,ALL
low,,2003,2015,60.0,89.99,6.9,10.13,12.99,ALL
mid,,0,1918,60.0,89.99,4.75,6.78,10.27,ALL
mid,,1919,1949,60.0,89.99,5.18,6.09,7.62,ALL
mid,,1950,1964,60.0,89.99,5.18,6.0,7.28,ALL
mid,,1965,1972,60.0,89.99,5.05,5.49,6.59,ALL
mid,,1973,1990,60.0,89.99,6.16,7.5,8.76,West
mid,,1973,1990,60.0,89.99,4.68,5.11,5.78,Ost
mid,,1991,2002,60.0,89.99,6.52,7.59,8.96,ALL
mid,,2003,2015,60.0,89.99,8.61,10.31,13.93,ALL
good,,0,1918,60.0,89.99,5.81,7.32,10.0,ALL
good,,1919,1949,60.0,89.99,5.52,7.1,9.2,ALL
good,,1950,1964,60.0,89.99,5.58,6.81,8.82,ALL
good,,1965,1972,60.0,89.99,6.09,6.9,8.59,ALL
good,,1973,1990,60.0,89.99,7.07,8.24,9.69,West
good,,1973,1990,60.0,89.99,5.37,6.0,7.0,Ost
good,,1991,2002,60.0,89.99,7.31,8.77,10.54,ALL
good,,2003,2015,60.0,89.99,8.44,9.01,11.07,ALL
low,,0,1918,90.0,9999.0,4.22,5.72,8.41,ALL
low,,1919,1949,90.0,9999.0,4.29,5.8,7.51,ALL
low,,1950,1964,90.0,9999.0,4.29,4.87,6.6,ALL
low,,1965,1972,90.0,9999.0,4.8,5.29,6.14,ALL
