wohnlage,buildingyear_min,buildingyear_max,size_lower,size_upper,rent_sqm_min,rent_sqm_avg,rent_sqm_max,location_flag
mid,1991,2001,85.0,89.99,6.55,8.68,10.43,ALL
mid,1991,2001,90.0,99.99,6.24,8.99,9.94,ALL
mid,1991,2001,100.0,9999.0,7.21,9.12,11.28,ALL
mid,2002,2009,0.0,49.99,8.0,9.26,12.34,ALL
mid,2002,2009,50.0,54.99,7.17,8.87,10.69,ALL
mid,2002,2009,55.0,59.99,8.0,9.27,11.05,ALL
mid,2002,2009,60.0,69.99,7.87,9.11,11.46,ALL
mid,2002,2009,70.0,74.99,6.89,8.57,9.98,ALL
mid,2002,2009,75.0,84.99,7.52,8.86,10.04,ALL
mid,2002,2009,85.0,89.99,6.55,8.68,10.43,ALL
mid,2002,2009,90.0,99.99,6.24,8.99,9.94,ALL
mid,2002,2009,100.0,9999.0,7.21,9.12,11.28,ALL
mid,2010,2015,0.0,69.99,8.18,10.76,16.75,ALL
mid,2010,2015,70.0,94.99,8.92,12.05,16.11,ALL
mid,2010,2015,95.0,9999.0,9.2,12.77,15.19,ALL
mid,2016,2022,0.0,54.99,10.22,14.44,21.93,ALL
mid,2016,2022,55.0,64.99,10.07,12.97,19.24,ALL
mid,2016,2022,65.0,74.99,9.77,12.1,17.75,ALL
mid,2016,2022,75.0,89.99,10.06,13.82,18.55,ALL
mid,2016,2022,90.0,9999.0,10.07,14.41,18.04,ALL
good,0,1918,0.0,34.99,7.39,10.65,15.32,ALL
good,0,1918,35.0,39.99,6.85,11.09,15.31,ALL
good,0,1918,40.0,44.99,6.26,9.2,13.46,ALL
good,0,1918,45.0,64.99,6.52,8.8,12.78,ALL
good,0,1918,65.0,114.99,6.09,8.45,12.55,ALL
good,0,1918,115.0,9999.0,6.14,8.13,11.97,ALL
good,1919,1949,0.0,34.99,7.03,9.45,14.21,ALL
good,1919,1949,35.0,39.99,6.84,8.5,11.45,ALL
good,1919,1949,40.0,64.99,6.47,8.24,11.16,ALL
good,1919,1949,65.0,9999.0,6.05,7.46,10.36,ALL
good,1950,1964,0.0,34.99,7.03,9.45,14.21,ALL
good,1950,1964,35.0,39.99,6.84,8.5,11.45,ALL
good,1950,1964,40.0,89.99,5.82,7.14,10.13,ALL
good,1950,1964,90.0,9999.0,6.32,8.99,11.58,ALL
good,1965,1972,0.0,34.99,7.03,9.45,14.21,ALL
good,1965,1972,35.0,39.99,6.84,8.5,11.45,ALL
good,1965,1972,40.0,89.99,5.82,7.14,10.13,ALL
good,1965,1972,90.0,9999.0,6.32,8.99,11.58,ALL
good,1973,1985,0.0,74.99,7.27,9.42,11.98,West
good,1973,1985,75.0,84.99,7.51,9.25,11.79,West
good,1973,1985,85.0,104.99,7.94,9.79,13.32,West
good,1973,1985,105.0,119.99,8.55,10.65,13.41,West
good,1973,1985,120.0,9999.0,6.95,10.08,13.02,West
good,1986,1990,0.0,74.99,8.35,10.15,12.91,West
good,1986,1990,75.0,84.99,7.51,9.25,11.79,West
good,1986,1990,85.0,104.99,7.94,9.79,13.32,West
good,1986,1990,105.0,119.99,8.55,10.65,13.41,West
good,1986,1990,120.0,9999.0,6.95,10.08,13.02,West
good,1973,1990,0.0,44.99,6.11,6.97,8.48,Ost
good,1973,1990,45.0,59.99,5.83,6.46,8.54,Ost
good,1973,1990,60.0,74.99,5.16,5.68,8.51,Ost
good,1973,1990,75.0,9999.0,5.08,5.72,6.47,Ost
good,1991,2001,0.0,74.99,8.35,10.15,12.91,ALL
good,1991,2001,75.0,84.99,7.51,9.25,11.79,ALL
good,1991,2001,85.0,104.99,7.94,9.79,13.32,ALL
good,1991,2001,105.0,119.99,8.55,10.65,13.41,ALL
good,1991,2001,120.0,9999.0,6.95,10.08,13.02,ALL
good,2002,2009,0.0,104.99,7.97,11.04,15.5,ALL
good,2002,2009,105.0,9999.0,9.58,12.12,15.34,ALL
good,2010,2015,0.0,84.99,10.24,13.79,17.56,ALL
good,2010,2015,85.0,9999.0,11.89,14.4,17.34,ALL
good,2016,2022,0.0,49.99,11.41,17.72,24.74,ALL
good,2016,2022,50.0,64.99,10.5,16.8,23.84,ALL
good,2016,2022,65.0,84.99,11.21,15.58,19.93,ALL
good,2016,2022,85.0,99.99,13.69,17.51,20.74,ALL
good,2016,2022,100.0,9999.0,12.22,16.07,18.47,ALL
