wohnlage,equipment_level,buildingyear_min,buildingyear_max,size_lower,size_upper,rent_sqm_min,rent_sqm_avg,rent_sqm_max,location_flag
low,,0,1918,0.0,39.99,5.5,7.9,12.97,ALL
low,,1919,1949,0.0,39.99,6.0,7.8,8.68,ALL
low,,1950,1964,0.0,39.99,5.54,6.43,9.03,ALL
low,,1965,1972,0.0,39.99,5.99,6.8,8.83,ALL
low,,1973,1990,0.0,39.99,7.43,7.57,8.85,West
low,,1973,1990,0.0,39.99,6.85,7.14,7.97,Ost
mid,,0,1918,0.0,39.99,6.72,8.43,12.24,ALL
mid,,1919,1949,0.0,39.99,6.44,7.66,8.55,ALL
mid,,1950,1964,0.0,39.99,5.65,6.85,9.05,ALL
mid,,1965,1972,0.0,39.99,5.89,6.57,8.24,ALL
mid,,1973,1990,0.0,39.99,5.33,7.73,8.16,West
mid,,1973,1990,0.0,39.99,6.45,6.93,7.23,Ost
good,,0,1918,0.0,39.99,6.54,11.44,14.23,ALL
good,,1919,1949,0.0,39.99,6.44,7.5,9.48,ALL
good,,1950,1964,0.0,39.99,6.36,7.47,9.31,ALL
good,,1965,1972,0.0,39.99,8.15,8.9,9.75,ALL
good,,1973,1990,0.0,39.99,7.47,8.31,10.09,West
good,,1973,1990,0.0,39.99,6.7,7.13,8.73,Ost
low,,0,1918,40.0,59.99,5.26,6.75,9.94,ALL
low,,1919,1949,40.0,59.99,5.42,6.4,8.19,ALL
low,,1950,1964,40.0,59.99,5.38,6.0,8.0,ALL
low,,1965,1972,40.0,59.99,5.05,5.88,7.01,ALL
low,,1973,1990,40.0,59.99,6.2,7.46,8.65,West
low,,1973,1990,40.0,59.99,5.72,6.01,6.55,Ost
low,,1991,2002,40.0,59.99,7.71,8.36,10.2,ALL
low,,2003,2017,40.0,59.99,9.7,11.61,15.11,ALL
mid,,0,1918,40.0,59.99,5.41,7.43,10.25,ALL
mid,,1919,1949,40.0,59.99,5.63,6.74,7.76,ALL
mid,,1950,1964,40.0,59.99,5.39,6.11,7.64,ALL
mid,,1965,1972,40.0,59.99,5.43,5.98,6.94,ALL
mid,,1973,1990,40.0,59.99,6.36,7.73,8.77,West
mid,,1973,1990,40.0,59.99,5.4,5.95,6.7,Ost
mid,,1991,2002,40.0,59.99,7.43,8.18,9.17,ALL
mid,,2003,2017,40.0,59.99,7.28,9.85,12.5,ALL
good,,0,1918,40.0,59.99,5.99,8.04,10.97,ALL
good,,1919,1949,40.0,59.99,6.01,6.9,9.14,ALL
good,,1950,1964,40.0,59.99,5.65,6.52,7.85,ALL
good,,1965,1972,40.0,59.99,5.29,7.13,10.0,ALL
good,,1973,1990,40.0,59.99,7.38,8.42,9.22,West
good,,1973,1990,40.0,59.99,5.83,6.01,6.96,Ost
good,,1991,2002,40.0,59.99,8.14,9.75,11.12,ALL
good,,2003,2017,40.0,59.99,7.75,9.88,11.98,ALL
low,,0,1918,60.0,89.99,4.83,6.33,10.0,ALL
low,,1919,1949,60.0,89.99,5.06,5.87,7.27,ALL
low,,1950,1964,60.0,89.99,4.83,5.58,6.81,ALL
low,,1965,1972,60.0,89.99,4.89,5.45,6.08,ALL
low,,1973,1990,60.0,89.99,6.08,7.27,9.0,West
low,,1973,1990,60.0,89.99,4.99,5.27,5.73,Ost
low,,1991,2002,60.0,89.99,6.23,7.72,8.59,ALL
low,,2003,2017,60.0,89.99,8.49,12.89,14.83,ALL
mid,,0,1918,60.0,89.99,4.84,6.77,10.0,ALL
mid,,1919,1949,60.0,89.99,5.09,6.24,7.32,ALL
mid,,1950,1964,60.0,89.99,5.28,6.0,7.08,ALL
mid,,1965,1972,60.0,89.99,5.08,5.71,6.4,ALL
mid,,1973,1990,60.0,89.99,5.7,8.0,9.11,West
mid,,1973,1990,60.0,89.99,4.6,5.27,5.76,Ost
mid,,1991,2002,60.0,89.99,6.73,7.9,9.03,ALL
mid,,2003,2017,60.0,89.99,8.91,10.09,12.2,ALL
good,,0,1918,60.0,89.99,5.62,7.49,10.92,ALL
good,,1919,1949,60.0,89.99,5.91,7.1,9.15,ALL
good,,1950,1964,60.0,89.99,5.5,6.54,8.37,ALL
good,,1965,1972,60.0,89.99,5.2,6.65,8.31,ALL
good,,1973,1990,60.0,89.99,6.61,8.32,9.84,West
good,,1973,1990,60.0,89.99,5.11,5.57,6.29,Ost
good,,1991,2002,60.0,89.99,7.45,9.09,11.02,ALL
good,,2003,2017,60.0,89.99,8.84,10.22,12.75,ALL
low,,0,1918,90.0,9999.0,4.79,6.23,9.14,ALL
low,,1919,1949,90.0,9999.0,5.14,6.13,7.16,ALL
low,,1965,1972,90.0,9999.0,4.89,5.47,6.05,ALL
low,,1973,1990,90.0,9999.0,5.83,7.19,8.28,West
low,,1973,1990,90.0,9999.0,4.78,5.23,5.48,Ost
low,,1991,2002,90.0,9999.0,6.64,7.96,9.32,ALL
low,,2003,2017,90.0,9999.0,8.52,11.95,13.77,ALL
mid,,0,1918,90.0,9999.0,4.88,6.77,9.8,ALL
mid,,1919,1949,90.0,9999.0,5.1,6.01,8.51,ALL
mid,,1950,1964,90.0,9999.0,5.62,6.77,11.41,ALL
mid,,1965,1972,90.0,9999.0,5.06,5.4,6.14,ALL
mid,,1973,1990,90.0,9999.0,5.97,7.64,8.66,West
mid,,1973,1990,90.0,9999.0,4.61,5.25,5.56,Ost
mid,,1991,2002,90.0,9999.0,7.21,8.19,9.54,ALL
mid,,2003,2017,90.0,9999.0,8.8,10.08,12.73,ALL
