kid2019,pindex2008,NOBS2008,pindex2009,NOBS2009,pindex2010,NOBS2010,pindex2011,NOBS2011,pindex2012,NOBS2012,pindex2013,NOBS2013,pindex2014,NOBS2014,pindex2015,NOBS2015,pindex2016,NOBS2016,pindex2017,NOBS2017,pindex2018,NOBS2018,pindex2019,NOBS2019,pindex2020,NOBS2020,pindex2021,NOBS2021,pindex2022,NOBS2022,pindex2023,NOBS2023,pindex2024,NOBS2024,pindex2025,NOBS2025,avg_return_all_time,avg_return_10yr,avg_return_5yr,return_2009,return_2010,return_2011,return_2012,return_2013,return_2014,return_2015,return_2016,return_2017,return_2018,return_2019,return_2020,return_2021,return_2022,return_2023,return_2024,return_2025,dataset_type
08235,5.152,947,5.086,1140,5.189,1484,5.163,1511,5.185,1654,5.303,2116,5.459,2008,5.683,1451,5.868,1062,6.327,1085,6.654,758,6.906,727,7.313,1013,7.579,1290,8.069,1268,8.411,1569,8.635,1774,8.759,880,3.2,4.44,3.69,-1.2811,2.0252,-0.5011,0.4261,2.2758,2.9417,4.1033,3.2553,7.8221,5.1683,3.7872,5.8934,3.6374,6.4652,4.2384,2.6632,1.436,renting
08236,5.357,825,5.456,1257,5.496,1577,5.497,1413,5.561,1306,5.775,1560,5.841,1373,5.973,967,6.248,750,6.758,806,6.937,699,7.31,545,7.711,938,8.118,1017,8.325,1039,8.595,1209,9.045,1544,9.272,781,3.3,4.51,3.76,1.848,0.7331,0.0182,1.1643,3.8482,1.1429,2.2599,4.6041,8.1626,2.6487,5.377,5.4856,5.2782,2.5499,3.2432,5.2356,2.5097,renting
08237,4.86,452,4.931,512,4.827,568,4.95,676,5.039,847,5.073,948,5.189,888,5.289,686,5.531,597,5.826,595,6.041,517,6.387,451,6.685,708,7.023,928,7.27,885,7.618,922,8.029,1422,8.227,630,3.16,4.52,4.24,1.4609,-2.1091,2.5482,1.798,0.6747,2.2866,1.9272,4.5755,5.3336,3.6904,5.7275,4.6657,5.0561,3.517,4.7868,5.3951,2.4661,renting
08311,7.361,2110,7.626,2560,7.623,2013,7.646,2209,7.969,2039,7.373,3117,8.535,2295,8.302,1853,7.613,1882,9.502,1114,10.261,1363,10.821,1210,11.278,1400,10.951,1402,11.893,1079,11.471,3056,11.677,4119,11.831,2910,3.12,3.95,1.05,3.6001,-0.0393,0.3017,4.2244,-7.479,15.7602,-2.7299,-8.2992,24.8128,7.9878,5.4576,4.2233,-2.8995,8.602,-3.5483,1.7958,1.3188,renting
08315,5.993,1130,6.128,1974,6.175,2506,6.13,2037,6.376,1800,6.601,2408,6.894,1711,6.909,1168,7.222,662,7.759,619,7.849,740,8.301,731,8.426,1103,8.708,1011,9.033,875,9.436,1226,9.968,1414,10.42,709,3.33,4.21,4.34,2.2526,0.767,-0.7287,4.0131,3.5289,4.4387,0.2176,4.5303,7.4356,1.1599,5.7587,1.5058,3.3468,3.7322,4.4614,5.638,4.5345,renting
08316,5.847,473,5.783,1114,5.745,1212,5.85,1048,6.005,843,6.218,1113,6.332,1009,6.733,495,7.203,296,7.281,351,7.712,338,8.009,275,8.273,434,8.535,514,9.107,470,9.402,573,9.754,787,10.568,407,3.57,4.63,5.04,-1.0946,-0.6571,1.8277,2.6496,3.547,1.8334,6.3329,6.9805,1.0829,5.9195,3.8511,3.2963,3.1669,6.7018,3.2393,3.7439,8.3453,renting
08317,4.977,975,5.025,1278,5.154,2125,5.164,3487,5.337,2132,5.479,3029,5.582,2929,5.752,2154,6.098,1264,6.665,1196,6.834,1240,7.103,945,7.513,1601,7.589,1894,7.835,1648,8.3,2162,8.648,2794,9.104,1191,3.64,4.72,3.93,0.9644,2.5672,0.194,3.3501,2.6607,1.8799,3.0455,6.0153,9.2981,2.5356,3.9362,5.7722,1.0116,3.2415,5.9349,4.1928,5.2729,renting
08325,4.766,366,4.819,508,4.892,653,4.818,795,4.972,702,5.063,827,5.195,797,5.336,499,5.544,455,5.787,440,5.946,335,6.22,293,6.784,600,6.652,667,7.01,535,7.309,677,7.79,944,7.895,499,3.05,4.03,3.13,1.112,1.5148,-1.5127,3.1963,1.8302,2.6071,2.7141,3.8981,4.3831,2.7475,4.6081,9.0675,-1.9458,5.3818,4.2653,6.5809,1.3479,renting
08326,4.964,708,4.975,740,5.097,1139,5.114,1333,5.192,1462,5.328,1728,5.481,1416,5.629,947,5.811,654,6.156,656,6.469,699,6.835,611,6.981,1005,7.161,1378,7.306,1051,7.746,1273,8.17,1686,8.475,902,3.21,4.19,3.97,0.2216,2.4523,0.3335,1.5252,2.6194,2.8716,2.7002,3.2333,5.937,5.0845,5.6578,2.1361,2.5784,2.0249,6.0224,5.4738,3.7332,renting
08327,4.925,173,4.816,189,4.938,256,4.982,363,5.225,361,5.355,376,5.352,421,5.531,321,5.861,286,6.339,276,6.718,244,6.817,225,7.148,424,7.42,540,7.546,429,8.078,526,8.33,723,8.614,393,3.38,4.55,3.82,-2.2132,2.5332,0.891,4.8776,2.488,-0.056,3.3445,5.9664,8.1556,5.9789,1.4737,4.8555,3.8053,1.6981,7.0501,3.1196,3.4094,renting
