kid2019,pindex2008,NOBS2008,pindex2009,NOBS2009,pindex2010,NOBS2010,pindex2011,NOBS2011,pindex2012,NOBS2012,pindex2013,NOBS2013,pindex2014,NOBS2014,pindex2015,NOBS2015,pindex2016,NOBS2016,pindex2017,NOBS2017,pindex2018,NOBS2018,pindex2019,NOBS2019,pindex2020,NOBS2020,pindex2021,NOBS2021,pindex2022,NOBS2022,pindex2023,NOBS2023,pindex2024,NOBS2024,pindex2025,NOBS2025,avg_return_all_time,avg_return_10yr,avg_return_5yr,return_2009,return_2010,return_2011,return_2012,return_2013,return_2014,return_2015,return_2016,return_2017,return_2018,return_2019,return_2020,return_2021,return_2022,return_2023,return_2024,return_2025,dataset_type
06411,1418.498,1515,1396.027,1007,1459.952,851,1590.088,886,1579.59,641,1621.699,770,1680.196,696,1696.227,814,1945.717,675,2061.422,569,2280.325,411,2443.795,519,2840.434,538,3214.924,631,3350.647,577,3226.581,918,3079.169,777,3180.883,303,5.03,6.71,2.49,-1.5841,4.5791,8.9137,-0.6602,2.6658,3.6071,0.9541,14.7085,5.9467,10.619,7.1687,16.2305,13.1843,4.2217,-3.7027,-4.5687,3.3033,apt_purchase
06412,1826.895,9934,1785.945,8048,1799.909,5748,1935.014,6715,2065.837,5581,2034.286,6415,2195.958,7901,2374.715,7027,2610.562,4456,3000.883,3563,3467.524,3880,3773.573,3846,4270.904,4680,4499.34,4636,4644.767,5699,4338.721,6446,4281.778,6474,4242.576,2676,5.27,6.22,-0.05,-2.2415,0.7819,7.5062,6.7608,-1.5273,7.9474,8.1403,9.9316,14.9516,15.5501,8.8262,13.1793,5.3487,3.2322,-6.589,-1.3124,-0.9156,apt_purchase
06413,1179.101,1268,1030.99,1231,1100.151,984,1188.503,1260,1301.36,1348,1344.873,1664,1396.359,1561,1594.8,1398,1671.991,939,1876.548,822,2111.462,795,2280.222,954,2640.127,682,3084.505,832,3120.631,817,2858.709,1106,2824.465,947,2866.584,430,5.67,6.33,1.98,-12.5613,6.7082,8.0309,9.4957,3.3437,3.8283,14.2113,4.8402,12.2343,12.5184,7.9926,15.7838,16.8317,1.1712,-8.3932,-1.1979,1.4912,apt_purchase
06414,1516.51,4906,1457.26,4022,1474.343,3454,1502.562,2902,1713.352,2766,1877.346,3211,1956.312,3419,2133.382,4409,2167.508,2190,2422.839,1989,2597.994,1997,2748.034,1716,3041.463,1651,3315.994,1561,3557.285,1828,3212.602,2537,3214.441,2802,3213.4,998,4.69,4.37,1.33,-3.907,1.1723,1.914,14.0287,9.5715,4.2063,9.0512,1.5996,11.7799,7.2293,5.7752,10.6778,9.0263,7.2766,-9.6895,0.0572,-0.0324,apt_purchase
06431,1074.709,1357,1036.703,1174,1011.684,1253,1054.557,1420,1038.454,1171,1097.4,1203,1161.35,1358,1202.872,1200,1233.345,1014,1422.27,1451,1478.612,1011,1572.825,799,1719.643,742,2186.252,588,2317.832,627,2212.857,835,2260.575,841,2161.343,392,4.46,6.39,5.28,-3.5364,-2.4133,4.2378,-1.527,5.6763,5.8274,3.5753,2.5334,15.3181,3.9614,6.3717,9.3347,27.1341,6.0185,-4.529,2.1564,-4.3897,apt_purchase
06432,1151.067,1683,1131.08,1459,1122.275,1364,1203.681,1546,1198.952,1310,1259.708,1509,1333.522,1388,1351.232,1295,1425.318,960,1576.684,900,1797.737,898,1932.448,616,2202.366,675,2358.153,654,2688.62,650,2583.444,1039,2505.859,1117,2474.723,372,4.77,6.45,2.59,-1.7364,-0.7785,7.2537,-0.3929,5.0674,5.8596,1.3281,5.4828,10.6198,14.0201,7.4934,13.9677,7.0736,14.0138,-3.9119,-3.0032,-1.2425,apt_purchase
06433,1163.022,1466,1108.966,1775,1130.112,1399,1139.077,1624,1153.461,1491,1256.015,1449,1287.731,1573,1404.224,1426,1483.544,1140,1628.631,952,1828.959,842,2004.93,778,2453.824,929,2533.322,913,2821.508,811,2511.498,976,2595.291,1236,2529.942,479,4.94,6.42,0.89,-4.6479,1.9068,0.7933,1.2628,8.891,2.5251,9.0464,5.6487,9.7798,12.3004,9.6214,22.3895,3.2398,11.3758,-10.9874,3.3364,-2.518,apt_purchase
06434,1516.902,5021,1469.04,3401,1500.941,3029,1534.552,3300,1567.311,2180,1708.614,2648,1745.228,2579,1981.089,2211,2225.021,1747,2302.386,1147,2508.805,1142,2668.395,961,2898.321,929,3182.434,949,3449.115,946,3267.418,1666,3283.927,1765,3207.18,767,4.64,5.08,2.22,-3.1552,2.1716,2.2393,2.1348,9.0156,2.1429,13.5146,12.313,3.477,8.9654,6.3612,8.6166,9.8027,8.3798,-5.2679,0.5053,-2.337,apt_purchase
06435,1023.432,2737,960.819,2680,983.08,1970,1052.781,2282,1039.872,2113,1076.549,2437,1167.593,2509,1365.349,2392,1405.92,2106,1441.848,1863,1618.118,1542,1733.692,1326,2004.487,1347,2219.274,1257,2480.185,1325,2339.211,1858,2213.086,1695,2250.226,903,4.97,5.36,2.61,-6.1179,2.3169,7.0901,-1.2262,3.5271,8.457,16.9371,2.9715,2.5555,12.2253,7.1425,15.6196,10.7153,11.7566,-5.684,-5.3918,1.6782,apt_purchase
06436,1481.269,5120,1399.847,4312,1369.216,3799,1394.66,3370,1427.024,2950,1530.654,3139,1593.522,2520,1736.414,1864,1847.757,1353,2017.554,1252,2305.761,1259,2491.496,1095,2821.67,1156,3126.603,1063,3321.648,1303,3070.731,1567,2982.265,1739,2989.52,757,4.4,5.8,1.37,-5.4968,-2.1882,1.8583,2.3206,7.262,4.1073,8.9671,6.4122,9.1894,14.285,8.0553,13.252,10.8068,6.2382,-7.554,-2.8809,0.2433,apt_purchase
06437,816.784,203,749.056,311,785.971,265,859.034,288,826.54,173,878.903,250,845.276,330,868.858,219,947.228,216,1102.259,221,1152.655,195,1104.431,169,1200.75,123,1594.207,116,1433.603,134,1403.588,149,1734.295,121,1323.6,64,3.67,5.5,4.1,-8.292,4.9282,9.2959,-3.7826,6.3352,-3.826,2.7899,9.0199,16.3668,4.5721,-4.1837,8.7211,32.7676,-10.0742,-2.0937,23.5615,-23.6808,apt_purchase
