kid2019,pindex2008,NOBS2008,pindex2009,NOBS2009,pindex2010,NOBS2010,pindex2011,NOBS2011,pindex2012,NOBS2012,pindex2013,NOBS2013,pindex2014,NOBS2014,pindex2015,NOBS2015,pindex2016,NOBS2016,pindex2017,NOBS2017,pindex2018,NOBS2018,pindex2019,NOBS2019,pindex2020,NOBS2020,pindex2021,NOBS2021,pindex2022,NOBS2022,pindex2023,NOBS2023,pindex2024,NOBS2024,pindex2025,NOBS2025,avg_return_all_time,avg_return_10yr,avg_return_5yr,return_2009,return_2010,return_2011,return_2012,return_2013,return_2014,return_2015,return_2016,return_2017,return_2018,return_2019,return_2020,return_2021,return_2022,return_2023,return_2024,return_2025,dataset_type
08118,1619.837,5043,1573.246,5429,1627.302,5492,1570.012,4804,1654.962,3412,1664.691,3332,1801.043,3396,1895.963,2447,2119.461,1734,2306.725,2011,2650.425,1908,2927.075,1171,3205.343,1576,3393.773,1529,3715.547,1614,3545.47,5368,3438.475,5533,3219.146,1831,4.31,5.69,0.28,-2.8763,3.436,-3.5206,5.4108,0.5879,8.1908,5.2703,11.7881,8.8355,14.8999,10.4379,9.5067,5.8786,9.4813,-4.5774,-3.0178,-6.3787,house_purchase
08119,1509.582,5232,1469.045,5163,1462.744,5541,1418.165,4350,1464.706,3612,1542.058,3347,1588.318,3459,1633.679,2689,1799.193,1862,2015.105,1726,2307.1,1439,2529.628,1050,2833.118,1161,3046.286,1215,3322.014,1186,3168.839,4088,3006.689,4100,2775.691,1258,3.86,5.74,-0.17,-2.6853,-0.4289,-3.0476,3.2818,5.2811,2.9999,2.8559,10.1314,12.0005,14.4903,9.6454,11.9974,7.5241,9.0513,-4.6109,-5.117,-7.6828,house_purchase
08121,1404.064,586,1338.054,576,1305.843,421,1427.095,425,1426.515,454,1472.107,492,1627.366,448,1802.586,334,1928.345,289,2136.027,455,2406.26,412,2646.953,229,2898.593,366,3248.945,320,3526.337,362,3227.096,647,3122.23,771,3073.446,343,4.93,5.72,1.47,-4.7014,-2.4073,9.2853,-0.0406,3.196,10.5467,10.7671,6.9766,10.77,12.6512,10.0028,9.5068,12.087,8.5379,-8.4859,-3.2495,-1.5625,house_purchase
08125,1190.529,3909,1160.453,4066,1175.897,3203,1160.593,2485,1190.085,2273,1209.075,2616,1224.202,2809,1321.108,2561,1375.366,2093,1466.877,2550,1761.975,1616,1939.032,1002,2169.716,1168,2488.697,1285,2795.631,1616,2562.658,3148,2564.862,4224,2655.896,2297,5.06,7.52,4.47,-2.5263,1.3309,-1.3015,2.5411,1.5957,1.2511,7.9159,4.107,6.6536,20.1174,10.0488,11.8969,14.7015,12.3331,-8.3335,0.086,3.5493,house_purchase
08126,951.936,849,952.062,848,911.58,489,891.206,682,851.829,556,911.103,657,967.832,648,1035.805,811,1106.244,719,1148.166,1154,1492.935,778,1627.95,731,1615.005,784,1824.94,709,2067.1,615,2184.195,935,2057.978,1158,2162.812,858,5.26,8.01,6.25,0.0132,-4.252,-2.235,-4.4184,6.9584,6.2264,7.0232,6.8004,3.7896,30.0278,9.0436,-0.7952,12.999,13.2695,5.6647,-5.7787,5.094,house_purchase
08127,946.187,2030,908.73,2191,948.826,1814,978.323,1903,993.716,1177,1024.738,1293,1010.132,1058,1083.519,1123,1109.546,902,1295.744,1450,1401.435,1018,1418.998,734,1666.192,626,1612.641,817,2018.937,784,2035.615,1652,1818.334,1724,1932.569,870,4.62,6.44,3.68,-3.9587,4.4123,3.1088,1.5734,3.1218,-1.4253,7.2651,2.4021,16.7815,8.1568,1.2532,17.4203,-3.214,25.1944,0.8261,-10.674,6.2824,house_purchase
08128,855.119,448,859.489,733,881.675,735,871.832,898,812.731,581,798.607,737,790.903,592,912.93,519,1015.745,829,1001.878,849,1076.647,841,1090.6,624,1222.273,1052,1106.028,1597,1614.129,1058,1891.19,2174,1928.772,2070,1985.353,1201,5.72,8.92,11.7,0.511,2.5813,-1.1164,-6.7789,-1.7378,-0.9647,15.4288,11.2621,-1.3652,7.4629,1.296,12.0734,-9.5106,45.9393,17.1647,1.9872,2.9335,house_purchase
08135,1000.856,1180,979.239,1133,954.215,756,975.668,753,937.869,826,955.577,1035,1048.674,1118,1093.08,935,1124.33,845,1247.372,950,1405.089,773,1446.824,569,1630.394,664,1792.759,699,2019.827,611,1917.596,1610,1957.571,1208,2066.196,538,4.52,6.73,5.04,-2.1599,-2.5555,2.2482,-3.8742,1.8881,9.7425,4.2345,2.8589,10.9436,12.6439,2.9703,12.6878,9.9586,12.6658,-5.0614,2.0846,5.549,house_purchase
08136,1092.364,3325,1058.836,3598,1041.865,2205,1085.856,2291,1071.279,1645,1125.651,2261,1152.205,2356,1236.095,2109,1276.542,2183,1354.83,1706,1539.522,1544,1624.147,1061,1833.189,1183,1958.701,1275,2260.364,1192,2108.922,2539,2046.641,2334,2218.987,1186,4.43,6.24,4.2,-3.0693,-1.6028,4.2223,-1.3424,5.0754,2.359,7.2808,3.2722,6.1328,13.6321,5.4968,12.8709,6.8466,15.4012,-6.6999,-2.9532,8.4209,house_purchase
08211,1603.651,560,1793.27,563,1655.995,499,2041.173,433,2202.299,624,1965.807,586,2001.385,602,2452.474,395,2113.168,339,2180.92,353,2499.539,322,3096.962,206,3088.63,242,3323.603,299,3463.082,172,3389.398,439,3245.425,583,2923.406,149,4.24,2.31,-0.9,11.8242,-7.655,23.2596,7.8938,-10.7384,1.8098,22.5388,-13.8353,3.2062,14.6094,23.9013,-0.269,7.6077,4.1966,-2.1277,-4.2477,-9.9222,house_purchase
08212,1719.852,1293,1669.325,1057,1712.34,827,1724.123,653,1867.826,576,2065.38,601,2080.664,617,2265.107,657,2562.661,448,2676.426,454,2889.07,486,3220.59,263,3299.649,287,3533.337,266,4059.017,283,3741.495,712,3588.92,1045,3826.572,316,5.0,5.61,3.34,-2.9379,2.5768,0.6881,8.3348,10.5767,0.74,8.8646,13.1364,4.4393,7.9451,11.475,2.4548,7.0822,14.8777,-7.8226,-4.0779,6.6218,house_purchase
08215,1306.578,6615,1289.33,7304,1266.191,5054,1303.881,4548,1306.607,2840,1326.321,3155,1399.248,3340,1589.275,4547,1628.723,3390,1720.015,2773,1854.582,2325,1990.234,1631,2176.632,1749,2554.764,1642,2740.822,1683,2676.473,3993,2738.294,4416,2632.977,1470,4.35,5.34,4.15,-1.3201,-1.7947,2.9766,0.2091,1.5088,5.4984,13.5807,2.4821,5.6051,7.8236,7.3144,9.3656,17.3723,7.2828,-2.3478,2.3098,-3.8461,house_purchase
08216,1194.043,2340,1176.469,2356,1149.112,2560,1166.21,2295,1208.791,1496,1280.129,1954,1340.483,1974,1397.129,1656,1434.571,1450,1547.662,1498,1706.243,1386,1825.451,961,2064.2,700,2356.474,740,2417.261,733,2359.915,1700,2328.765,2271,2294.803,731,4.04,5.25,2.32,-1.4718,-2.3253,1.4879,3.6512,5.9016,4.7147,4.2258,2.6799,7.8833,10.2465,6.9866,13.0789,14.1592,2.5796,-2.3724,-1.32,-1.4584,house_purchase
08221,1946.372,524,1934.276,534,2058.71,403,1931.889,434,1912.024,329,2273.871,333,2443.019,331,2293.01,324,2730.666,215,3130.618,223,3270.709,195,3790.469,170,4033.153,160,4363.027,140,4960.868,176,4468.902,397,5174.232,691,4050.62,272,5.02,6.65,1.21,-0.6215,6.4331,-6.1602,-1.0283,18.9248,7.4388,-6.1403,19.0865,14.6467,4.4749,15.8914,6.4025,8.1791,13.7024,-9.9169,15.7831,-21.7155,house_purchase
08222,1501.428,1157,1443.546,1050,1425.21,922,1536.92,1050,1564.039,977,1609.164,825,1710.809,923,1812.467,926,1980.373,665,2199.645,785,2344.857,671,2696.02,347,2791.727,350,3251.9,386,3639.499,380,3242.188,836,3085.667,960,3328.245,560,5.04,6.6,4.1,-3.8551,-1.2702,7.8381,1.7645,2.8852,6.3166,5.9421,9.2639,11.0723,6.6016,14.9759,3.5499,16.4835,11.9192,-10.9166,-4.8276,7.8614,house_purchase
08225,881.712,1001,854.348,1226,817.469,975,787.461,1237,783.888,842,783.933,1235,816.17,1063,854.684,1284,903.019,960,1029.595,1001,1101.455,1272,1181.533,942,1225.899,944,1488.527,1092,1631.132,1183,1877.162,1855,1952.768,2215,1925.64,856,4.92,8.64,9.75,-3.1035,-4.3166,-3.6708,-0.4537,0.0057,4.1122,4.7189,5.6553,14.017,6.9794,7.2702,3.755,21.4233,9.5803,15.0834,4.0277,-1.3892,house_purchase
08226,1340.495,7933,1317.995,7757,1293.127,6129,1306.163,5691,1351.803,4257,1399.037,4845,1433.794,4882,1467.455,5247,1502.599,4246,1671.401,3610,1865.319,3446,2020.442,2210,2240.162,2302,2476.449,1984,2827.103,2118,2734.947,5236,2806.16,5620,2862.402,2613,4.69,7.05,5.21,-1.6785,-1.8868,1.0081,3.4942,3.4941,2.4844,2.3477,2.3949,11.234,11.6021,8.3162,10.8748,10.5478,14.1595,-3.2597,2.6038,2.0042,house_purchase
08231,1367.306,1012,1256.014,1029,1401.659,804,1310.849,803,1408.988,725,1499.846,600,1539.266,563,1532.864,498,1647.123,376,1791.538,619,2028.058,393,2115.604,273,2410.874,265,2661.693,331,3042.143,362,2906.175,732,2727.118,786,2740.564,339,4.43,6.23,2.91,-8.1395,11.5958,-6.4788,7.4867,6.4485,2.6283,-0.4159,7.454,8.7677,13.2021,4.3167,13.9568,10.4037,14.2935,-4.4695,-6.1613,0.493,house_purchase
08235,1320.356,4128,1153.083,2880,1336.561,2436,1134.156,1723,1160.177,1980,1051.844,1715,1117.125,1830,1174.941,1310,1307.555,993,1241.656,2209,1473.67,1185,1831.658,774,1830.578,896,2188.848,817,2504.139,858,2434.856,1928,2249.787,3320,2301.791,1852,3.97,7.51,5.18,-12.6688,15.912,-15.1437,2.2943,-9.3376,6.2063,5.1754,11.2869,-5.0399,18.6859,24.2923,-0.059,19.5714,14.4044,-2.7667,-7.6008,2.3115,house_purchase
08236,1378.384,3439,1201.437,3933,1260.174,3007,1238.478,2430,1262.623,2002,1268.231,2354,1305.303,1982,1358.543,2001,1441.585,1483,1467.365,2287,1706.967,1099,1810.257,830,2071.596,799,2481.761,944,2753.089,984,2688.493,2022,2577.437,2365,2537.393,1064,3.95,6.74,4.54,-12.8373,4.8889,-1.7217,1.9496,0.4442,2.9231,4.0787,6.1126,1.7883,16.3287,6.0511,14.4366,19.7995,10.9329,-2.3463,-4.1308,-1.5536,house_purchase
08237,1401.632,2677,1063.781,2051,1200.16,1484,975.518,898,940.741,1099,913.566,1144,890.737,1134,929.294,783,1080.258,783,1137.94,873,1324.8,674,1415.216,447,1392.422,1037,1631.161,821,1677.034,1155,1878.159,1260,1963.474,1931,1869.252,1040,2.37,7.49,6.34,-24.1041,12.8202,-18.7177,-3.565,-2.8887,-2.4989,4.3287,16.245,5.3397,16.4209,6.8249,-1.6106,17.1456,2.8123,11.9929,4.5425,-4.7987,house_purchase
08311,1833.496,505,1712.16,442,1777.489,423,1866.036,330,2035.125,255,2268.033,338,2475.403,311,2652.126,242,2585.402,248,2994.792,204,3406.79,172,3233.357,119,3604.318,160,4121.166,152,4344.085,142,4126.591,432,3616.642,7040,4390.742,390,5.66,5.72,4.76,-6.6177,3.8156,4.9816,9.0614,11.4444,9.1432,7.1392,-2.5159,15.8347,13.7571,-5.0908,11.4729,14.3397,5.4091,-5.0067,-12.3576,21.4038,house_purchase
08315,1326.611,2098,1263.007,2109,1351.191,2016,1356.252,1604,1458.465,1119,1606.8,1480,1585.026,1526,1603.829,1142,1742.834,815,1816.284,822,2059.324,870,2170.524,563,2274.989,679,2595.968,611,2914.019,713,2591.582,2234,3437.617,2000,2966.848,1794,5.34,7.07,6.85,-4.7945,6.9821,0.3746,7.5364,10.1706,-1.3551,1.1863,8.6671,4.2144,13.3812,5.3998,4.8129,14.109,12.2517,-11.065,32.6455,-13.6946,house_purchase
08316,1277.557,1858,1242.49,1637,1311.554,1517,1289.324,1182,1425.669,650,1455.517,779,1559.59,701,1581.282,570,1624.572,552,1777.114,457,2017.754,373,2024.93,226,2396.828,305,2582.344,279,2675.481,299,2820.242,1584,3314.208,1600,2984.35,1671,5.36,6.87,4.86,-2.7448,5.5585,-1.6949,10.5749,2.0936,7.1502,1.3909,2.7377,9.3897,13.5411,0.3556,18.366,7.7401,3.6067,5.4107,17.515,-9.9528,house_purchase
08317,1065.688,3447,1027.196,5358,1124.93,2770,1170.581,2038,1199.847,1594,1200.285,2412,1231.401,2128,1300.804,1847,1390.629,1542,1488.27,1886,1668.22,1514,1805.365,1114,1900.251,1179,2134.842,1187,2411.427,1178,2221.215,2453,2156.292,3536,2279.519,1077,4.73,5.97,4.04,-3.6119,9.5146,4.0581,2.5001,0.0365,2.5924,5.6361,6.9053,7.0214,12.0912,8.221,5.2558,12.3453,12.9558,-7.8879,-2.9229,5.7148,house_purchase
08325,1083.233,2246,864.571,2566,1004.519,1281,880.546,1292,999.226,961,922.589,1223,902.735,1315,956.87,1062,1089.615,946,1223.571,1233,1279.545,1097,1368.223,613,1262.48,2547,1525.137,2209,1450.406,2492,1948.911,3061,1949.424,4813,1873.491,1479,4.1,7.63,9.28,-20.1861,16.187,-12.3415,13.478,-7.6696,-2.152,5.9968,13.8728,12.2939,4.5746,6.9304,-7.7285,20.8048,-4.9,34.37,0.0263,-3.8952,house_purchase
08326,1030.077,2079,886.063,2804,986.575,1341,1002.757,2019,1079.116,1289,1060.453,1483,1121.275,1335,1155.66,942,1228.429,772,1287.783,1331,1336.184,1309,1485.05,548,1592.998,765,1874.933,886,1748.008,891,2112.451,3892,2072.22,3812,1927.837,2165,4.11,5.62,4.58,-13.9809,11.3437,1.6402,7.6149,-1.7295,5.7355,3.0666,6.2967,4.8317,3.7585,11.1411,7.269,17.6984,-6.7696,20.849,-1.9045,-6.9676,house_purchase
08327,1140.475,1651,883.718,2046,899.125,1153,916.148,873,970.98,738,930.9,911,972.137,914,1061.757,757,1170.025,693,1273.253,710,1270.317,533,1547.829,317,1512.129,481,1770.045,756,1766.228,899,1931.622,1964,1985.266,2954,1843.192,1666,3.34,6.02,4.37,-22.5132,1.7434,1.8933,5.9851,-4.1278,4.4298,9.2189,10.1971,8.8227,-0.2306,21.8459,-2.3065,17.0565,-0.2156,9.3642,2.7771,-7.1564,house_purchase
08335,1469.314,2193,1190.263,2638,1442.429,1714,1375.366,1598,1376.24,1562,1451.773,1729,1680.879,1333,1658.823,1026,1789.479,810,1871.903,1016,2344.629,757,2464.098,550,2609.028,590,2734.475,575,2591.985,659,2695.003,2114,2815.256,2388,2722.581,1285,4.18,5.35,0.95,-18.9919,21.1857,-4.6493,0.0635,5.4884,15.7811,-1.3122,7.8764,4.606,25.2538,5.0954,5.8817,4.8082,-5.2109,3.9745,4.4621,-3.2919,house_purchase
08336,1317.477,1711,1261.644,1528,1337.44,1539,1427.639,1105,1463.73,741,1457.436,1061,1607.314,1486,1694.477,854,1867.917,802,1831.913,1150,2228.128,860,2245.186,663,2401.138,751,2839.609,635,3099.951,669,2832.173,1664,2728.694,2896,2567.71,1773,4.31,4.69,1.85,-4.2379,6.0077,6.7442,2.528,-0.43,10.2837,5.4229,10.2356,-1.9275,21.6285,0.7656,6.9461,18.261,9.1682,-8.6381,-3.6537,-5.8997,house_purchase
08337,1042.647,1356,1032.96,1157,1065.468,973,1109.276,644,1169.372,626,1120.77,1021,1218.353,978,1304.436,1237,1430.086,965,1405.729,1321,1491.409,1143,1974.092,933,2005.814,941,2077.861,691,2215.995,689,2349.042,1654,2084.115,3079,1898.168,2400,3.96,4.4,-0.79,-0.9291,3.1471,4.1116,5.4176,-4.1562,8.7068,7.0655,9.6325,-1.7032,6.0951,32.3642,1.6069,3.5919,6.6479,6.0039,-11.2781,-8.9221,house_purchase
08415,1382.971,2433,1330.217,2214,1434.424,2132,1390.62,1721,1411.402,1630,1549.909,1985,1696.871,2183,1481.782,1321,1635.616,1174,1726.676,1319,2002.256,1187,2381.106,634,2456.413,886,2324.195,1539,2361.359,1529,2480.28,2979,2466.914,3425,2552.125,1660,3.96,5.82,0.83,-3.8145,7.8338,-3.0538,1.4944,9.8134,9.482,-12.6756,10.3817,5.5673,15.9601,18.9212,3.1627,-5.3826,1.599,5.0361,-0.5389,3.4542,house_purchase
08416,1551.623,3038,1542.199,2140,1648.624,2360,1346.518,1336,1452.87,1568,1413.582,1209,1487.342,1052,1567.743,825,1719.266,680,1881.611,755,1903.681,861,2224.201,387,2606.258,532,2808.944,619,2754.517,520,2841.246,1590,2623.953,2446,2407.975,1832,3.01,4.74,-1.38,-0.6074,6.9009,-18.3247,7.8983,-2.7042,5.2179,5.4057,9.665,9.4427,1.1729,16.8369,17.1773,7.7769,-1.9376,3.1486,-7.6478,-8.231,house_purchase
08417,1135.822,2267,836.376,1855,991.911,1576,824.46,1079,919.389,923,859.619,1725,828.819,1951,899.416,1516,1003.281,1364,1142.522,1341,1304.327,1610,1406.259,1102,1481.774,1281,1576.059,2448,1772.389,1967,1954.326,3995,1916.071,6947,2045.616,2353,4.23,8.67,6.78,-26.3638,18.5963,-16.8817,11.5141,-6.5011,-3.583,8.5178,11.548,13.8786,14.1621,7.8149,5.3699,6.363,12.457,10.2651,-1.9575,6.761,house_purchase
08421,1454.237,791,1304.532,713,1487.02,442,1546.972,310,1674.531,262,1760.103,312,1978.425,317,2068.765,253,2304.417,201,2611.58,233,2714.103,216,3106.431,124,2639.57,196,3279.862,131,3945.623,122,2489.199,830,3301.431,413,3426.18,165,6.48,7.21,8.81,-10.2944,13.9888,4.0317,8.2457,5.1102,12.4039,4.5663,11.391,13.3293,3.9257,14.4552,-15.0289,24.2574,20.2984,-36.9124,32.6303,3.7786,house_purchase
08425,1151.731,2103,1027.454,2145,1054.606,1819,1014.702,1437,1081.299,894,1112.024,1129,1194.193,1170,1186.147,1076,1300.733,884,1456.51,1123,1530.822,886,1613.316,531,1820.682,774,1983.969,961,2181.976,709,2190.352,1898,2438.006,3206,2447.77,1197,4.72,7.6,6.21,-10.7905,2.6426,-3.7838,6.5632,2.8415,7.3891,-0.6738,9.6604,11.9761,5.1021,5.3889,12.8534,8.9685,9.9803,0.3839,11.3066,0.4005,house_purchase
08426,1032.711,1093,938.365,1069,1055.952,1026,1036.041,856,1117.149,829,1097.028,1027,1088.597,986,1140.327,992,1250.765,742,1318.329,955,1505.846,843,1618.419,623,1657.063,733,1819.092,896,1967.632,706,1958.814,1552,2045.711,1534,2108.179,1334,4.45,6.42,5.0,-9.1358,12.5311,-1.8856,7.8286,-1.8011,-0.7685,4.752,9.6848,5.4018,14.2238,7.4757,2.3878,9.7781,8.1656,-0.4482,4.4362,3.0536,house_purchase
08435,1571.072,1778,1308.501,2567,1609.551,2760,1548.381,1424,1649.172,1036,1754.248,791,1879.67,786,2038.409,744,2038.49,600,2091.415,1025,2274.715,844,2717.508,349,2955.599,421,3598.184,358,3496.617,501,3549.482,884,3129.253,1152,3023.086,557,4.46,4.48,1.04,-16.7129,23.0072,-3.8004,6.5094,6.3714,7.1496,8.445,0.004,2.5963,8.7644,19.4659,8.7614,21.7413,-2.8227,1.5119,-11.8392,-3.3927,house_purchase
08436,1297.424,1765,1215.896,1843,1307.503,2045,1316.882,1460,1412.339,1154,1390.502,1070,1437.152,1261,1521.333,1301,1677.028,897,1807.189,1170,1860.125,1087,2108.478,603,2141.564,817,2760.922,621,2280.926,990,2506.024,3265,2451.13,4347,2487.019,677,4.32,5.65,4.14,-6.2838,7.5341,0.7173,7.2487,-1.5462,3.3549,5.8575,10.2341,7.7614,2.9292,13.3514,1.5692,28.9208,-17.3854,9.8687,-2.1905,1.4642,house_purchase
08437,952.455,995,844.122,1032,918.504,1192,922.723,1099,997.625,1255,866.222,1467,908.51,931,1077.7,881,1119.169,1040,1155.507,1382,1221.687,1587,1506.23,833,1573.707,936,1635.301,1247,1654.012,1598,1892.359,2492,1989.563,5210,1866.19,2216,4.43,5.9,3.68,-11.3741,8.8118,0.4593,8.1175,-13.1716,4.8819,18.6228,3.8479,3.2469,5.7274,23.291,4.4799,3.9139,1.1442,14.4102,5.1367,-6.201,house_purchase
09161,1502.524,625,1520.863,519,1678.209,377,1579.847,331,1827.147,251,1849.378,331,2127.311,387,2515.296,509,2540.941,442,2797.859,538,2933.785,630,3089.69,444,3050.416,399,3238.283,323,3742.1,265,3636.303,674,3337.718,879,3104.224,472,4.68,2.37,0.74,1.2205,10.3458,-5.8611,15.6534,1.2167,15.0285,18.2383,1.0196,10.1111,4.8582,5.3141,-1.2711,6.1587,15.5582,-2.8272,-8.2112,-6.9956,house_purchase
09162,2552.076,7278,2506.577,5742,2741.454,4486,2929.463,3440,3399.847,2907,3662.353,3071,3911.709,3578,4107.31,2916,4535.297,1940,4889.716,2047,5374.958,2232,5610.397,1734,6080.332,1761,6782.603,1293,7205.651,1409,6751.443,3573,6408.089,3692,6399.656,1681,5.72,4.72,1.25,-1.7828,9.3704,6.858,16.057,7.7211,6.8086,5.0004,10.4201,7.8147,9.9237,4.3803,8.3761,11.5499,6.2373,-6.3035,-5.0856,-0.1316,house_purchase
09171,1034.622,351,1007.685,404,1015.85,414,1044.448,414,1137.969,298,998.099,664,1163.326,549,1314.053,387,1391.093,394,1591.86,588,1744.885,541,1900.037,264,1980.891,287,2174.329,272,2754.843,224,2693.715,586,2651.723,845,2519.482,218,5.76,7.08,5.54,-2.6036,0.8103,2.8152,8.9541,-12.2912,16.5542,12.9566,5.8628,14.4323,9.613,8.8918,4.2554,9.7652,26.6985,-2.2189,-1.5589,-4.987,house_purchase
